AAL-close,AAPL-close,AAP-close,ABBV-close,ABC-close,ABT-close,ACN-close,ADBE-close,ADI-close,ADM-close,ADP-close,ADSK-close,ADS-close,AEE-close,AEP-close,AES-close,AET-close,AFL-close,AGN-close,AIG-close,AIV-close,AIZ-close,AJG-close,AKAM-close,ALB-close,ALGN-close,ALK-close,ALL-close,ALXN-close,AMAT-close
16.37,60.8914,80.47,42.45,54.95,36.4,77.49,45.28,44.74,32.18,65.41,37.69,157.64,35.07,49.54,12.87,56.64,50.21,96.97,39.56,31.4,47.51,42.1,34.79,61.61,31.8,30.56,49.5,96.2,13.46
16.52,57.5428,79.82,42.24,55.06,37.28,76.7,44.9,42.85,32.07,65.35,36.82,157.1,34.74,49.37,12.64,55.29,49.16,97.73,38.56,31.02,46.72,41.76,34.18,60.24,30.78,29.92,49.07,94.75,13.045
16.1,56.0071,78.92,42.32,55.44,36.88,75.57,44.46,42.34,31.91,64.63,35.93,158.34,35.05,49.48,12.62,54.18,48.9,96.68,38.34,30.83,46.11,41.79,33.74,57.75,30.13,29.355,48.44,92.02,12.92
16.02,55.7899,79.93,42.39,55.92,37.2,74.74,44.74,42.36,32.18,65.23,36.12,160.07,35.82,49.94,12.87,55.87,49.39,98.48,38.88,31.12,46.66,41.95,33.55,58.82,31.5,30.175,48.97,92.6,12.93
15.52,56.9528,79.07,44.2,56.2,36.89,74.94,44.53,42.66,32.22,65.5,36.24,164.96,35.64,50.37,12.92,55.02,49.72,97.85,38.61,30.99,46.81,42.05,34.28,58.99,32,29.79,49.01,90.45,13.08
16.3,58.0185,80.55,45.14,56.3,37.21,76.3,44.87,43.43,32.55,66.36,37.26,166.42,35.91,50.64,13.15,55.55,50.67,98.77,40.62,31.02,47.28,42.16,35.47,59.12,31.99,30.57,49.8,91.69,13.43
16.45,57.9231,81.18,44.32,55.82,36.52,77.81,44.67,43.46,32.39,66.67,37.56,165.85,36.13,50.9,13.24,56.99,51.56,98.28,41.6,31.13,47.69,42.14,36.091,59,32.04,30.44,49.7,89.23,13.63
16.22,58.3399,83,44.24,53.41,36.49,79.33,45.05,43.65,33.18,66.77,37.87,166.19,36.1,50.76,13.46,56.88,52.57,98.89,42.28,30.93,46.6,42.21,42.482,59.28,32.25,30.12,49.53,98.82,14.15
16.59,59.6007,82.94,45.84,53.26,36.46,78.66,44.91,43.3,33.47,66.59,37.31,166.89,36,50.54,13.47,57.01,53.2,100.94,40.87,30.74,46.52,42.27,42.61,58.86,32.34,30.33,49.09,99.34,14.14
16.81,61.4457,83.02,45.23,54.06,36.73,81.13,45.06,43.66,34.03,67.14,38.21,168.44,36.15,51.31,13.66,56.16,54.04,105.58,41.31,31.03,47.15,42.43,43.03,59.47,32.93,30.58,49.25,98.66,14.4
