ADA-Close,BTC-Close,ETC-Close,ETH-Close,LINK-Close,LTC-Close,TRX-Close,XRP-Close
0.223722,9205.120117,20.4991,699.830994,0.510198,178.233994,0.036132,0.801048
0.223026,9194.849609,19.924,690.827026,0.563841,175.781998,0.035726,0.789711
0.199562,8269.80957,17.1518,614.291016,0.443609,161.100998,0.031056,0.701902
0.185709,8300.860352,18.413,611.304016,0.419737,164.475998,0.030119,0.697269
0.178878,8338.349609,17.7756,601.666016,0.42442,165.449997,0.030119,0.68926
0.154763,7916.879883,16.318399,552.778992,0.373861,152.968994,0.028358,0.637856
0.156155,8223.679688,16.787001,538.643982,0.373338,154.074005,0.028621,0.658777
0.197648,8630.650391,19.6546,556.726013,0.381644,161.141998,0.032364,0.74908
0.204947,8913.469727,20.206699,557.174988,0.391713,168.817001,0.038112,0.709808
0.213189,8929.280273,19.799,561.731995,0.445421,169.052002,0.037106,0.693664
0.203481,8728.469727,19.6679,539.702026,0.419292,163.671997,0.037924,0.662743
0.189259,8879.620117,19.039101,539.619019,0.40914,167.832001,0.041137,0.643174
0.189201,8668.120117,18.4995,526.439026,0.419085,159.630997,0.04978,0.641265
0.184605,8495.780273,18.089899,524.286987,0.406105,160.084,0.045311,0.641875
0.167806,8209.400391,16.483601,489.950989,0.371496,149.220993,0.044378,0.599463
0.154926,7833.040039,15.9087,450.115997,0.342625,135.779007,0.043075,0.577917
0.160058,7954.47998,16.0987,446.278992,0.351367,131.746994,0.048817,0.578002
0.146882,7165.700195,14.6758,385.967987,0.280161,114.679001,0.043002,0.511511
0.147209,6890.52002,14.3911,394.644989,0.287494,118.598,0.041277,0.509565
0.155919,6973.529785,14.3682,396.457001,0.280171,116.607002,0.033972,0.512353
0.150768,6844.22998,13.576,379.606995,0.26158,115.222,0.032152,0.485081
0.156385,7083.799805,14.1277,386.424988,0.273684,119.306,0.035755,0.500688
0.172447,7456.109863,15.1641,416.893005,0.295473,134.470001,0.034801,0.558044
0.155356,6853.839844,13.6432,380.542999,0.290161,118.412003,0.030136,0.501631
0.148758,6811.470215,13.716,383.231995,0.286925,119.130997,0.040014,0.495801
0.144451,6636.319824,13.1502,370.285004,0.275062,113.154999,0.036918,0.476431
0.148794,6911.089844,13.4698,385.313995,0.304124,116.260002,0.037064,0.487867
0.156599,7023.52002,14.1194,400.507996,0.327094,117.670998,0.037632,0.500398
0.153106,6770.72998,13.6318,398.526001,0.311528,114.989998,0.035756,0.491855
0.156347,6834.759766,13.6521,414.243011,0.355836,114.263,0.036928,0.491931
0.166029,6968.319824,14.5934,430.540009,0.359287,118.291,0.036271,0.539506
0.212233,7889.25,16.1658,492.94101,0.386811,129.335007,0.039564,0.628737
0.200532,7895.959961,15.6083,492.734985,0.381543,125.353996,0.039006,0.638087
0.200853,7986.240234,16.024401,501.477997,0.394007,126.293999,0.040011,0.632184
0.22139,8329.110352,16.751499,531.702026,0.423946,132.044998,0.042971,0.682534
0.256646,8058.669922,16.119801,511.147003,0.409538,128.335007,0.041256,0.663297
0.243724,7902.089844,16.072599,502.894012,0.416794,132.927994,0.042116,0.656933
0.260341,8163.419922,17.617701,524.789001,0.44629,139.996994,0.047521,0.708932
0.272358,8294.30957,18.3843,567.888977,0.482795,146.300003,0.049392,0.791976
0.301247,8845.830078,19.636499,615.718018,0.481416,155.537003,0.053673,0.924465
0.29058,8895.580078,18.687,605.39502,0.491349,148.934006,0.053677,0.873103
0.285535,8802.459961,18.7896,621.859985,0.499311,146.774002,0.05242,0.869995
0.288473,8930.879883,20.4814,642.547974,0.492385,152.251999,0.058546,0.876657
0.312875,9697.5,22.248699,708.15802,0.536824,165.781006,0.07336,0.934781
0.271654,8845.740234,18.5774,615.416016,0.434367,144.764008,0.070015,0.800607
0.294295,9281.509766,21.0627,662.809021,0.490148,153.679001,0.074566,0.852414
0.288489,8987.049805,20.556801,647.031982,0.452005,145.904999,0.074037,0.813885
0.357874,9348.480469,21.7292,683.677979,0.484476,152.296005,0.081662,0.863804
0.365057,9419.080078,21.830601,688.880981,0.515714,153.630997,0.089145,0.872778
0.343318,9240.549805,21.676901,669.924011,0.544691,148.477005,0.093777,0.837938
0.358693,9119.009766,21.5819,673.612976,0.550401,148.488007,0.09336,0.841407
0.37242,9235.919922,21.6682,687.148987,0.564701,151.576996,0.091397,0.859094
