ADA-Open,ADA-High,ADA-Low,ADA-Close,ADA-Volume,BTC-Open,BTC-High,BTC-Low,BTC-Close,BTC-Volume,ETC-Open,ETC-High,ETC-Low,ETC-Close,ETC-Volume,ETH-Open,ETH-High,ETH-Low,ETH-Close,ETH-Volume,LINK-Open,LINK-High,LINK-Low,LINK-Close,LINK-Volume,LTC-Open,LTC-High,LTC-Low,LTC-Close,LTC-Volume,TRX-Open,TRX-High,TRX-Low,TRX-Close,TRX-Volume,XRP-Open,XRP-High,XRP-Low,XRP-Close,XRP-Volume
0.132351,0.13922,0.124945,0.131807,46458900,11082.7002,11858.7002,10862,11323.2002,6608309760,30.7708,31.7908,29.8734,30.4575,401675008,463.704987,482.813995,451.85199,465.852997,990556992,0.207998,0.255528,0.193607,0.230629,8765840,100.195,106.390999,98.101601,101.263,364022016,0.00208,0.002204,0.002034,0.002116,7261200,0.25553,0.263072,0.247391,0.252558,134710000
0.131546,0.145946,0.12635,0.13587,76392704,11315.40039,11657.2002,11081.79981,11657.2002,6132409856,30.442301,30.8839,29.616501,30.396799,274351008,466.053986,474.777008,453.312012,470.20401,1005550016,0.232595,0.25327,0.206793,0.229581,6981590,101.396004,104.236,96.532501,104.236,331151008,0.002124,0.002169,0.002049,0.002144,10447300,0.252919,0.255362,0.24716,0.253571,104650000
0.135625,0.136404,0.126777,0.127488,50381100,11685.7002,12032,11604.59961,11916.7002,6895260160,30.399,31.232599,29.583,30.386101,331676992,470.294006,473.558014,457.660004,463.281006,1216720000,0.22927,0.313877,0.221351,0.313877,12459200,104.277,104.303001,101.839996,102.397003,328726016,0.002139,0.002184,0.002058,0.002085,8749920,0.253598,0.253988,0.245234,0.246101,174591008
0.126748,0.132855,0.113886,0.117839,75688800,11923.40039,14369.09961,11923.40039,14291.5,12656300032,30.493799,30.5109,27.3139,27.8636,407100000,462.604004,462.708008,420.209991,428.588013,1998259968,0.312358,0.353649,0.267842,0.29157,12387900,102.477997,104.818001,97.314697,100.351997,547512000,0.002068,0.004077,0.002068,0.003055,33314700,0.245416,0.245705,0.227742,0.232544,274526016
0.117766,0.124176,0.105501,0.105501,71024600,14266.09961,17899.69922,14057.29981,17899.69922,17950699520,27.9041,30.0368,26.766199,26.8216,449012992,426.368988,441.397003,414.411011,434.40799,2129570048,0.28369,0.308353,0.235807,0.260064,6697780,99.9841,101.343002,92.271698,98.292397,645691008,0.003134,0.005808,0.002974,0.004275,44215300,0.232623,0.23376,0.22134,0.222823,275204992
0.106142,0.120726,0.099136,0.115465,70092400,17802.90039,18353.40039,14336.90039,16569.40039,21135998976,26.8894,30.0527,25.4461,30.0527,581400000,434.989014,466.062012,422.367004,456.031006,2336379904,0.260004,0.273486,0.211824,0.245226,4528570,98.328102,133.070007,95.396004,124.846001,1515559936,0.004311,0.004731,0.003682,0.004394,21605600,0.223636,0.278673,0.222168,0.252125,660172032
0.114745,0.13866,0.113561,0.119609,63308600,16523.30078,16783,13674.90039,15178.2002,13911300096,29.766199,33.049099,26.721701,29.092699,585616000,457.343994,504.147003,456.252991,473.502014,2003849984,0.244985,0.267705,0.226415,0.238859,3173600,127.478996,171.550995,126.587997,155.242004,2436539904,0.004441,0.004789,0.004305,0.004473,17520500,0.252162,0.255684,0.240073,0.244708,205288992
0.119794,0.119794,0.100133,0.110281,46376600,15168.40039,15850.59961,13226.59961,15455.40039,13433299968,29.2178,29.2178,24.1991,26.5075,463748000,472.789001,472.789001,429.514008,441.721008,1404179968,0.241055,0.267001,0.215909,0.252898,3142570,155.626999,155.626999,130.160995,148.660004,1087340032,0.004452,0.00463,0.003489,0.004408,18145200,0.245548,0.245548,0.229304,0.237333,198174000
0.108927,0.121383,0.108638,0.121383,39513900,15427.40039,17513.90039,15404.79981,16936.80078,12153900032,26.477699,29.4277,26.477699,27.642099,470359008,440.358002,516.968994,439.104004,515.135986,1771440000,0.255079,0.287951,0.245527,0.260592,7534170,148.257996,225.287003,147.341003,214.203003,2913979904,0.004436,0.005282,0.004383,0.005282,20137200,0.236574,0.252777,0.235804,0.251691,176100992
0.121177,0.138008,0.114222,0.133891,60056800,16919.80078,17781.80078,16571.59961,17415.40039,14603799552,27.754999,33.388302,27.4161,30.318501,819044992,522.286011,657.317993,504.493988,651.43103,5179829760,0.254114,0.270264,0.209596,0.231424,10320200,212.464005,341.723999,209.682007,316.158997,6961679872,0.005177,0.007675,0.004903,0.007613,48699100,0.252258,0.434102,0.250961,0.373541,1555040000
0.133739,0.141854,0.122368,0.134281,61575000,17500,17653.09961,16039.7002,16408.19922,12976900096,30.2922,33.2444,27.945601,29.7204,688510976,644.906006,747.992981,597.797974,702.767029,4524539904,0.231428,0.288013,0.224191,0.261878,10439800,315.362,341.795013,287.483002,302.60199,3409789952,0.007614,0.018094,0.006823,0.01646,174319008,0.372689,0.513768,0.342964,0.471063,2738759936
0.133667,0.240753,0.131843,0.240753,309307008,16384.59961,17085.80078,16185.90039,16564,13777399808,29.635,34.069199,29.608101,31.961901,632755008,700.593994,753.120972,664.989014,695.815979,3821580032,0.26132,0.366843,0.253102,0.308503,16021700,301.197998,311.319,265.657013,279.328003,2114880000,0.016445,0.020064,0.015114,0.01769,192816992,0.470648,0.892267,0.466401,0.864263,6358700032
0.233209,0.233209,0.187032,0.213467,207311008,16601.30078,18154.09961,16601.30078,17706.90039,14309999616,32.023201,32.697601,28.468201,32.085098,526729984,696.375977,697.132019,621.060974,684.447998,2758710016,0.312604,0.354452,0.258224,0.320793,13211800,280.967987,316.406006,251.223999,299.778992,2599940096,0.01742,0.018434,0.01458,0.018434,139710000,0.86176,0.86176,0.666114,0.756181,3194210048
