0001.HK,0002.HK,0003.HK,0005.HK,0006.HK,0011.HK,0012.HK,0016.HK,0017.HK,0027.HK,0066.HK,0101.HK,0175.HK,0267.HK,0291.HK,0316.HK,0386.HK,0388.HK,0669.HK,0688.HK,0700.HK,0762.HK,0823.HK,0857.HK,0868.HK,0881.HK,0883.HK,0939.HK,0941.HK,0960.HK,0981.HK,0992.HK,1038.HK,1044.HK,1093.HK,1109.HK,1177.HK,1211.HK,1299.HK,1378.HK,1398.HK,1928.HK,2007.HK,2020.HK,2313.HK,2318.HK,2319.HK,2331.HK,2382.HK,2388.HK,2628.HK,2688.HK,3968.HK,3988.HK
25.1168,33.912,78.2405,65.697,26.4827,105.1058,14.2652,29.7353,3.2382,6.1653,4.9992,9.6874,1.0155,0.8925,12.6951,21.6788,1.4852,22.8375,5.9517,4.2393,32.5217,1.957,5.82,2.2176,1.2844,1.2551,15.1642,0.8758,14.4264,1.5229,0.04,4.5234,10.6469,18.1191,0.4479,2.5833,7.5755,7.278,3.5215,0.5025,0.6906,3.7295,0.4013,0.7638,2.1331,7.9126,3.1464,0.5859,0.5509,4.9147,2.8622,4.1483,2.6922,0.4912
24.954,33.861,78.1583,65.5072,26.462,105.585,14.2805,30.0876,3.196,6.3766,4.9994,9.7058,1.0077,0.8859,13.0591,21.7048,1.4973,22.7947,6.3545,4.2442,32.5228,1.948,5.8459,2.22,1.2537,1.2736,15.1239,0.8792,14.3926,1.5256,0.0406,4.5235,10.5793,18.6691,0.4518,2.5629,8.0276,7.4303,3.5281,0.4801,0.681,3.7767,0.3984,0.7443,2.2062,7.8437,3.1941,0.5785,0.5885,4.9348,2.9187,4.3026,2.6572,0.4879
24.2747,33.703,77.391,64.9759,26.9588,104.629,13.7925,29.0179,3.1177,6.2778,4.9544,9.4523,0.9921,0.8493,12.5552,21.1991,1.4872,22.6193,6.5174,4.232,31.9047,1.9269,5.9141,2.2175,1.2058,1.2722,15.0619,0.8575,14.2718,1.5362,0.0393,4.5091,10.5562,18.6927,0.44,2.5525,8.0272,7.4952,3.4821,0.4759,0.6682,3.7025,0.3954,0.7443,2.1748,7.788,3.2485,0.5681,0.574,4.8947,2.9468,4.2954,2.6103,0.4811
24.6719,33.7286,77.5598,64.4468,27.2183,105.0082,14.0877,29.4419,3.1372,6.2074,4.9722,9.5787,0.9725,0.7886,12.8905,20.8959,1.4651,22.4447,6.4085,4.1889,31.7702,1.8457,5.9226,2.1964,1.2126,1.2867,15.0003,0.8524,14.2115,1.4987,0.038,4.4806,10.624,19.0465,0.4322,2.5559,8.0537,7.343,3.4952,0.4759,0.6698,3.689,0.3998,0.7459,2.2199,7.7464,3.1803,0.5532,0.5798,4.8946,2.9256,4.2883,2.6064,0.476
24.9989,34.0332,77.5587,64.8781,26.5467,105.4822,14.501,29.7927,3.1762,6.2213,5.0079,9.5424,0.9881,0.7778,13.17,21.1228,1.465,22.4444,6.5716,4.3419,32.306,1.8277,5.9653,2.1963,1.2331,1.2933,15.0206,0.8524,14.28,1.5228,0.0393,4.6512,10.6239,19.6201,0.442,2.6787,8.0536,7.3972,3.4492,0.4689,0.6698,3.763,0.4086,0.7573,2.213,7.684,3.2075,0.5532,0.6073,4.9145,2.9537,4.3233,2.5596,0.4777
24.8115,33.6645,76.7089,64.7331,26.4163,105.2904,14.4918,29.6459,3.1469,6.2775,4.9989,9.5242,0.9803,0.7454,12.974,20.8236,1.4249,22.444,6.4954,4.2558,31.8497,1.8427,5.9823,2.194,1.216,1.2933,14.9386,0.844,14.2283,1.5147,0.038,4.7081,10.5331,19.3634,0.4381,2.6616,8.08,7.3211,3.4229,0.4493,0.6634,3.8168,0.4013,0.7524,2.2442,7.677,3.2415,0.5547,0.5856,4.8945,2.9748,4.3442,2.4817,0.4726
24.4845,33.402,76.2009,63.5815,26.3951,104.7213,14.2691,29.4122,3.1111,6.1369,4.999,9.3255,0.9452,0.7445,12.7785,20.493,1.3988,22.2265,6.5607,4.2415,31.3944,1.8277,6.0338,2.1763,1.175,1.288,14.571,0.829,14.177,1.4933,0.0367,4.3525,10.5899,18.8265,0.4184,2.6344,7.8941,7.2994,3.4295,0.4241,0.6491,3.6418,0.3939,0.7345,2.2755,7.6287,3.2212,0.5472,0.574,4.8746,2.9467,4.4004,2.4038,0.4659
24.2731,33.2956,76.9619,64.5876,26.7406,104.7176,14.1943,29.2941,3.0882,5.827,5.0078,9.1987,0.9647,0.7678,12.9738,21.1541,1.4115,22.1385,6.6802,4.2748,32.0635,1.8396,6.0079,2.1858,1.1204,1.2682,14.6221,0.834,14.2698,1.4986,0.0367,4.5231,10.5895,19.07,0.4223,2.6718,7.9204,7.6033,3.4491,0.4227,0.6538,3.5272,0.391,0.7719,2.331,7.6215,3.2142,0.5576,0.5856,4.7715,2.9818,4.4773,2.3842,0.4659
25.2331,33.9284,78.0686,66.1754,27.5213,106.2443,14.7895,30.1149,3.2023,6.137,5.0438,9.5787,1.0077,0.7771,13.282,22.4279,1.4279,23.2509,6.7458,4.3898,32.6012,1.8788,6.0338,2.2458,1.1785,1.3461,14.85,0.8658,14.4106,1.5255,0.0374,4.6086,10.5787,19.4127,0.4341,2.7538,8.0005,8.1902,3.6853,0.4423,0.6937,3.7361,0.4116,0.7996,2.3276,7.8916,3.2689,0.577,0.5784,4.8329,3.0736,4.5195,2.4661,0.4845
25.5616,33.9825,78.9208,66.7067,27.5009,107.0101,14.8793,30.2334,3.222,6.3765,5.0798,9.6152,0.9882,0.8076,13.5622,22.6072,1.4464,23.4699,6.7026,4.4139,32.8976,1.8909,5.9571,2.2459,1.1888,1.3026,14.8093,0.8474,14.3062,1.539,0.0374,4.5092,10.7264,18.7421,0.4283,2.771,7.868,8.1906,3.692,0.4591,0.6794,3.8709,0.4042,0.8386,2.3312,7.8781,3.235,0.5859,0.5842,4.8841,3.0808,4.4216,2.4351,0.4794
