ADS.DF,AIR.DF,ALV.DF,BAS.DF,BAYN.DF,BEI.DF,BEI.DY,BMW.DF,BNR.DF,CON.DF,DB1.DF,DBK.DF,DPW.DF,DTE.DF,EOAN.DF,FME.DF,FRE.DF,HEI.DF,HEN3.DF,HNR1.DF,IFX.DF,MBG.DF,MRK.DF,MTX.DF,MUV2.DF,PAH3.DF,QIA.DF,RWE.DF,SAP.DF,SIE.DF,SRT3.DF,SY1.DF,VOW3.DF
83.02931348,32.08641025,120.4372906,86.16176665,87.04680694,74.38611072,73.94854536,74.84555434,42.16933173,98.00177043,56.38029627,34.45042144,19.85774547,12.61217794,24.27458167,73.8069801,39.0325029,53.58116494,80.14524299,64.12134222,6.5621934,49.28916357,62.05062852,78.19936411,158.3085723,60.58735848,19.29302877,45.82467551,71.32315322,97.7728208,19.8420446,33.91131518,186.287016
82.6598147,31.94302728,119.9025745,84.89386374,85.08240199,73.63968026,73.73653209,73.91861355,42.76331454,98.69847895,55.7698706,33.96955513,19.7422785,12.37120801,23.94435688,73.90311725,39.06835238,52.9986167,80.19332124,64.3625656,6.415465699,48.8004124,62.10075237,79.32165471,157.2873837,60.31674152,19.21282179,45.29954132,71.53347563,97.50655567,19.87632145,34.14608374,184.3180858
86.19024438,34.19012834,119.318721,85.34977013,87.13154952,75.1456841,74.95312963,78.23826506,43.80484155,101.2563308,55.83429193,35.57691086,20.08941633,12.16345789,23.90277552,74.58103112,40.33235582,53.91525242,81.98006685,68.30479614,6.689966891,49.76882603,63.84286665,83.89780532,159.4806401,61.53936871,19.93120941,46.0257232,71.62505975,99.28433885,20.98297317,34.66370826,189.5620723
85.55698315,33.8948166,118.7389764,83.53017569,86.42314795,75.01914245,74.59326618,77.90419445,43.70983622,101.7000306,55.05359581,35.07714259,20.00709554,12.00503636,23.48032421,74.65818635,40.15221134,53.06054684,81.16318658,68.10124998,6.547847543,49.14845787,63.61331918,82.80826349,158.5402293,60.65101218,19.65211209,44.98188187,70.76297662,98.51660558,21.15267672,34.54142142,191.5923822
84.47069158,35.50735819,117.075604,82.33888635,85.57557651,73.94803921,73.77049599,76.29984365,42.47181278,100.3749621,54.03489417,34.71857739,19.79220981,11.85036691,23.19126196,74.31084493,40.18356367,51.40519598,80.37047235,68.79928573,6.445590947,48.5670775,63.33082578,82.85350439,156.9597886,61.16235402,19.4098486,44.21212233,68.7529701,96.99353561,20.732031,33.590406,187.6426027
85.39839375,34.77923634,118.1828687,83.25848874,86.54901013,73.92048792,73.93333249,78.02047398,42.82122027,101.8587074,54.22205868,35.9516885,19.90008896,12.0225155,23.39252695,74.17352591,40.28917061,51.52726835,81.04922308,68.69531773,6.512195895,48.89027857,63.13554654,83.1737146,158.7550051,63.02315657,19.02087829,44.68111369,69.16799782,95.52916129,20.82682453,33.98544205,190.6133868
86.42503035,34.13680008,119.0427415,83.58870764,86.6050178,75.1250275,74.94516945,78.05710199,42.79715952,101.1889182,53.96647414,35.72175066,20.04964435,11.86674981,23.50576568,74.85200556,40.60949036,51.17932126,81.33077738,69.33075145,6.509826442,49.16982802,63.39672958,82.12784617,160.4489125,63.10559244,18.59693472,44.81571036,70.15758093,95.69548385,20.79728452,34.12644853,190.5977807
86.71625906,34.47674056,119.9364853,83.98263088,86.87042073,75.61016891,75.4295611,78.3579877,42.8694564,101.0062069,53.53731462,36.27843245,19.87846942,11.7524081,23.59899027,74.39751648,41.23147259,52.07181126,81.78953606,70.05002852,6.463179427,49.28013056,63.53524686,82.48616618,161.2440712,62.30969388,18.51965367,45.01391612,71.1620566,95.63312457,20.71416755,34.22388962,188.6706569
88.19095102,34.59989399,123.0152165,85.12237957,89.7262743,76.78172741,76.5845918,79.03581751,43.7502288,98.98282889,54.10983496,37.95729505,20.25698119,11.78922844,23.96754033,76.18642974,41.71843504,52.10994604,82.77490944,71.69510982,6.664999445,49.66001727,65.05669774,84.74626557,165.2969146,63.67999081,19.02929322,46.0324626,72.21388774,97.46345803,21.20764175,35.04344912,190.8973085
89.01601042,35.25594022,125.1376333,85.7824697,89.57457872,76.38568771,76.40533255,80.64337945,43.9140762,99.39503443,54.77112466,38.89652204,20.58517341,11.90477328,24.28888066,76.06482198,41.71516374,53.73256743,81.9582741,72.19609808,6.78532787,50.44533081,65.62227966,87.39858523,167.5036961,64.69700768,19.36274048,46.78484221,71.54388938,99.05321421,21.19390154,35.94612894,193.8290918
